date,close,probability,label,trained_on
2006-01-03,1268.8000,,0,1
2006-01-04,1273.4600,,0,1
2006-01-05,1273.4800,,0,1
2006-01-06,1285.4500,,0,1
2006-01-09,1290.1500,,0,1
2006-01-10,1289.6899,,0,1
2006-01-11,1294.1801,,0,1
2006-01-12,1286.0601,,0,1
2006-01-13,1287.6100,,0,1
2006-01-17,1282.9301,,0,1
2006-01-18,1277.9301,,0,1
2006-01-19,1285.0400,,0,1
2006-01-20,1261.4900,,0,1
2006-01-23,1263.8199,,0,1
2006-01-24,1266.8600,,0,1
2006-01-25,1264.6801,,0,1
2006-01-26,1273.8300,,0,1
2006-01-27,1283.7200,,0,1
2006-01-30,1285.1899,,0,1
2006-01-31,1280.0800,,0,1
2006-02-01,1282.4600,,0,1
2006-02-02,1270.8400,,0,1
2006-02-03,1264.0300,,0,1
2006-02-06,1265.0200,,0,1
2006-02-07,1254.7800,,0,1
2006-02-08,1265.6500,,0,1
2006-02-09,1263.7800,,0,1
2006-02-10,1266.9900,,0,1
2006-02-13,1262.8600,,0,1
2006-02-14,1275.5300,,0,1
2006-02-15,1280.0000,,0,1
2006-02-16,1289.3800,,0,1
2006-02-17,1287.2400,,0,1
2006-02-21,1283.0300,,0,1
2006-02-22,1292.6700,,0,1
2006-02-23,1287.7900,,0,1
2006-02-24,1289.4301,,0,1
2006-02-27,1294.1200,,0,1
2006-02-28,1280.6600,,0,1
2006-03-01,1291.2400,,0,1
2006-03-02,1289.1400,,0,1
2006-03-03,1287.2300,,0,1
2006-03-06,1278.2600,,0,1
2006-03-07,1275.8800,,0,1
2006-03-08,1278.4700,,0,1
2006-03-09,1272.2300,,0,1
2006-03-10,1281.4200,,0,1
2006-03-13,1284.1300,,0,1
2006-03-14,1297.4800,,0,1
2006-03-15,1303.0200,,0,1
2006-03-16,1305.3300,,0,1
2006-03-17,1307.2500,,0,1
2006-03-20,1305.0800,,0,1
2006-03-21,1297.2300,,0,1
2006-03-22,1305.0400,,0,1
2006-03-23,1301.6700,,0,1
2006-03-24,1302.9500,,0,1
2006-03-27,1301.6100,,0,1
2006-03-28,1293.2300,,0,1
2006-03-29,1302.8900,,0,1
2006-03-30,1300.2500,,0,1
2006-03-31,1294.8700,,0,1
2006-04-03,1297.8101,,0,1
2006-04-04,1305.9301,,0,1
2006-04-05,1311.5601,,0,1
2006-04-06,1309.0400,,0,1
2006-04-07,1295.5000,,0,1
2006-04-10,1296.6200,,0,1
2006-04-11,1286.5699,,0,1
2006-04-12,1288.1200,,0,1
