date,close,probability,label,trained_on
1990-01-02,359.6900,,0,1
1990-01-03,358.7600,,0,1
1990-01-04,355.6700,,0,1
1990-01-05,352.2000,,0,1
1990-01-08,353.7900,,0,1
1990-01-09,349.6200,,0,1
1990-01-10,347.3100,,0,1
1990-01-11,348.5300,,1,1
1990-01-12,339.9300,,0,1
1990-01-15,337.0000,,0,1
1990-01-16,340.7500,,0,1
1990-01-17,337.4000,,0,1
1990-01-18,338.1900,,0,1
1990-01-19,339.1500,,1,1
1990-01-22,330.3800,,0,1
1990-01-23,331.6100,,0,1
1990-01-24,330.2600,,0,1
1990-01-25,326.0800,,0,1
1990-01-26,325.8000,,0,1
1990-01-29,325.2000,,0,1
1990-01-30,322.9800,,0,1
1990-01-31,329.0800,,0,1
1990-02-01,328.7900,,0,1
1990-02-02,330.9200,,0,1
1990-02-05,331.8500,,0,1
1990-02-06,329.6600,,0,1
1990-02-07,333.7500,,0,1
1990-02-08,332.9600,,0,1
1990-02-09,333.6200,,0,1
1990-02-12,330.0800,,0,1
1990-02-13,331.0200,,0,1
1990-02-14,332.0100,,0,1
1990-02-15,334.8900,,0,1
1990-02-16,332.7200,,0,1
1990-02-20,327.9900,,0,1
1990-02-21,327.6700,,0,1
1990-02-22,325.7000,,0,1
1990-02-23,324.1500,,0,1
1990-02-26,328.6700,,0,1
1990-02-27,330.2600,,0,1
1990-02-28,331.8900,,0,1
1990-03-01,332.7400,,0,1
1990-03-02,335.5400,,0,1
1990-03-05,333.7400,,0,1
1990-03-06,337.9300,,0,1
1990-03-07,336.9500,,0,1
1990-03-08,340.2700,,0,1
1990-03-09,337.9300,,0,1
1990-03-12,338.6700,,0,1
1990-03-13,336.0000,,0,1
1990-03-14,336.8700,,0,1
1990-03-15,338.0700,,0,1
1990-03-16,341.9100,,0,1
1990-03-19,343.5300,,0,1
1990-03-20,341.5700,,0,1
1990-03-21,339.7400,,0,1
1990-03-22,335.6900,,0,1
1990-03-23,337.2200,,0,1
1990-03-26,337.6300,,0,1
1990-03-27,341.5000,,0,1
1990-03-28,342.0000,,0,1
1990-03-29,340.7900,,0,1
1990-03-30,339.9400,,0,1
1990-04-02,338.7000,,0,1
1990-04-03,343.6400,,0,1
1990-04-04,341.0900,,0,1
